Year,Month,Max (�C),Min (�C),Ave
1882,2,9.8,3.0,6.4
1882,3,15.3,1.6,8.45
1882,4,9.4,6.3,7.85
1882,5,13.7,4.3,9
1882,6,14.8,7.7,11.25
1882,7,17.6,10.3,13.95
1882,8,18.3,8.5,13.4
1882,9,13.7,10.7,12.2
1882,10,13.7,10.1,11.9
1882,11,7.0,2.2,4.6
1882,12,1.0,-12.8,-5.9
1883,1,4.7,-0.7,2
1883,2,11.6,6.3,8.95
1883,3,9.3,-6.6,1.35
1883,4,12.2,-1.9,5.15
1883,5,19.4,8.8,14.1
1883,6,17.2,8.4,12.8
1883,7,16.6,8.1,12.35
1883,8,18.2,11.1,14.65
1883,9,13.3,7.6,10.45
1883,10,13.3,6.0,9.65
1883,11,12.8,0.0,6.4
1883,12,8.9,4.4,6.65
1884,1,7.0,4.8,5.9
1884,2,9.7,1.8,5.75
1884,3,6.6,2.4,4.5
1884,4,10.9,4.3,7.6
1884,5,13.9,2.4,8.15
1884,6,15.9,11.6,13.75
1884,7,18.9,10.4,14.65
1884,8,21.1,8.9,15
1884,9,13.4,6.9,10.15
1884,10,12.0,4.9,8.45
1884,11,7.1,3.2,5.15
1884,12,2.7,-4.3,-0.8
1885,1,3.4,-3.7,-0.15
1885,2,4.8,-2.6,1.1
1885,3,6.5,-2.4,2.05
1885,4,13.7,3.6,8.65
1885,5,14.9,2.8,8.85
1885,6,17.4,8.8,13.1
1885,7,15.6,9.4,12.5
1885,8,20.9,8.3,14.6
1885,9,16.7,5.0,10.85
1885,10,7.9,4.2,6.05
1885,11,7.9,3.4,5.65
1885,12,15.3,8.6,11.95
1886,1,9.3,-0.7,4.3
1886,2,5.4,-0.2,2.6
1886,3,6.5,1.6,4.05
1886,4,12.3,-1.3,5.5
1886,5,11.4,3.6,7.5
1886,6,18.7,8.6,13.65
1886,7,18.3,10.2,14.25
1886,8,19.0,12.2,15.6
1886,9,18.3,13.2,15.75
1886,10,17.0,3.2,10.1
1886,11,8.3,2.9,5.6
1886,12,2.1,-2.7,-0.3
1887,1,4.3,-2.9,0.7
1887,2,8.0,1.5,4.75
1887,3,8.4,2.3,5.35
1887,4,11.5,8.7,10.1
1887,5,11.8,-1.6,5.1
1887,6,21.1,12.3,16.7
1887,7,19.4,8.3,13.85
1887,8,24.3,6.1,15.2
1887,9,11.8,4.9,8.35
1887,10,9.8,-0.1,4.85
1887,11,8.4,3.4,5.9
1887,12,2.4,0.6,1.5
1888,1,11.6,4.9,8.25
1888,2,5.9,-2.8,1.55
1888,3,9.7,-3.7,3
1888,4,6.6,3.9,5.25
1888,5,12.8,6.5,9.65
1888,6,14.8,7.9,11.35
1888,7,14.6,4.7,9.65
1888,8,16.4,10.1,13.25
1888,9,18.4,2.7,10.55
1888,10,15.6,6.7,11.15
1888,11,6.8,2.6,4.7
1888,12,10.0,0.7,5.35
1889,1,8.3,6.1,7.2
1889,2,12.1,9.2,10.65
1889,3,13.0,5.8,9.4
1889,4,12.0,3.6,7.8
1889,5,11.9,4.3,8.1
1889,6,18.9,8.9,13.9
1889,7,17.8,11.1,14.45
1889,8,20.3,12.0,16.15
1889,9,11.6,5.8,8.7
1889,10,9.9,2.9,6.4
1889,11,10.4,3.6,7
1889,12,6.1,-3.6,1.25
1890,1,11.8,0.4,6.1
1890,2,8.4,4.3,6.35
1890,3,11.4,5.6,8.5
1890,4,15.3,8.7,12
